t,u_measured
1.439999999999999947e+00,1.053929538980441727e+00
1.445000000000000062e+00,9.807059514731120142e-01
1.449999999999999956e+00,1.016237406849518798e+00
1.455000000000000071e+00,1.017894268383438661e+00
1.459999999999999964e+00,1.016647447944932336e+00
1.465000000000000080e+00,9.478632792991793510e-01
1.469999999999999973e+00,9.924039933725007367e-01
1.475000000000000089e+00,1.146944141626848213e+00
1.479999999999999982e+00,1.176567975699502000e+00
1.485000000000000098e+00,1.142529570465972366e+00
1.489999999999999991e+00,1.118562066026099311e+00
1.495000000000000107e+00,9.931819793744404157e-01
1.500000000000000000e+00,9.728840301237106081e-01
1.505000000000000115e+00,9.668725746520067110e-01
1.510000000000000009e+00,9.319609568122922960e-01
1.515000000000000124e+00,9.433220848413337301e-01
1.520000000000000018e+00,9.517356511696024590e-01
1.525000000000000133e+00,9.021950713875974692e-01
1.530000000000000027e+00,7.615071312772629941e-01
1.535000000000000142e+00,7.485199530783488431e-01
1.540000000000000036e+00,7.250782757236975407e-01
1.544999999999999929e+00,8.198850551499261563e-01
1.550000000000000044e+00,8.463644736851985151e-01
1.554999999999999938e+00,9.608320430920003208e-01
1.560000000000000053e+00,1.019228032966617015e+00
1.564999999999999947e+00,1.005053821470428099e+00
1.570000000000000062e+00,9.671723547925784592e-01
1.574999999999999956e+00,1.053871880188084864e+00
1.580000000000000071e+00,9.843706680391676178e-01
1.584999999999999964e+00,1.019072297447475295e+00
1.590000000000000080e+00,1.078827214238292642e+00
1.594999999999999973e+00,1.070301123755557082e+00
1.600000000000000089e+00,1.038533354138438503e+00
1.604999999999999982e+00,1.017242833790991341e+00
1.610000000000000098e+00,8.877561069666668470e-01
1.614999999999999991e+00,8.195511931889092327e-01
1.620000000000000107e+00,7.962588457296536637e-01
1.625000000000000000e+00,8.432711108558671453e-01
1.630000000000000115e+00,7.791213927233122671e-01
1.635000000000000009e+00,8.701722661902586697e-01
1.640000000000000124e+00,8.828493546685600712e-01
1.645000000000000018e+00,9.621581156692051717e-01
1.650000000000000133e+00,8.169029758079979775e-01
1.655000000000000027e+00,9.745201827301575026e-01
1.660000000000000142e+00,9.824650157268028927e-01
1.665000000000000036e+00,1.105842186881470512e+00
1.669999999999999929e+00,1.106270807627474984e+00
1.675000000000000044e+00,1.153469879015757593e+00
1.679999999999999938e+00,1.158005662063937180e+00
1.685000000000000053e+00,1.194601473148773296e+00
1.689999999999999947e+00,1.032483776866184311e+00
1.695000000000000062e+00,1.110220583095684832e+00
1.699999999999999956e+00,9.897783026823100405e-01
1.705000000000000071e+00,1.112586696607422931e+00
